locus	vendored_reading	american_edition_reading
Dan.7.26	And a judgment shall sit, that his power may be taken away, and be broken in pieces, and perish even to the end.	And judgment shall sit, that his power may be taken away, and be broken in pieces, and perish even to the end.
Dan.11.4	And when he shall come to his height, his kingdom shall be broken, and it shall be divided towards the four winds of the heaven: but not to his posterity, nor according to his power with which he ruled. For his kingdom shall be rent in pieces, even for strangers, besides these.	And when he shall come to his height, his kingdom shall be broken, and it shall be divided towards the four winds of the heaven: but not to his posterity, nor according to his power with which he ruled. For his kingdom shall be rent in pieces, even for strangers, beside these.
Dan.11.10	And his sons shall be provoked, and they shall assemble a multitude of great forces: and he shall come with haste like a flood: and he shall return, and be stirred up, and he shall join battle with his force.	And his sons shall be provoked, and they shall assemble a multitude of great forces: and he shall come with haste like a flood: and he shall return and be stirred up, and he shall join battle with his forces.
Dan.11.14	And in those times many shall rise up against the king of the south, and the children of prevaricators of thy people shall lift up themselves to fulfil the vision, and they shall fall.	And in those times many shall rise up against the king of the south, and the children of prevaricators of thy people shall lift up themselves to fulfill the vision, and they shall fall.
Dan.11.43	And he shall have power over the treasures of gold, and of silver, and all the precious things of Egypt: and he shall pass through Lybia, and Ethiopia.	And he shall have power over the treasures of gold, and of silver, and all the precious things of Egypt: and he shall pass through Libya, and Ethiopia.
Dan.13.5	And there were two of the ancients of the people appointed judges that year, of whom the Lord said: That iniquity came out from Babylon, from the ancient judges, that seemed to govern the people.	And there were two of the ancients of the people appointed judges that year, of whom the Lord said: Iniquity came out from Babylon from the ancient judges, that seemed to govern the people.
Dan.13.14	And turning back again, they came both to the same place: and asking one another the cause, they acknowledged their lust: and then they agreed together upon a time, when they might find her alone.	And turning back again, they came both to the same place: and asking one another the cause, they acknowledged their lust; and then they agreed upon a time, when they might find her alone.
Dan.13.62	To fulfil the law of Moses: and they put them to death, and innocent blood was saved in that day.	To fulfill the law of Moses: and they put them to death, and innocent blood was saved in that day.
Dan.13.64	And Daniel became great in the sight of the people from that day, and thence forward.	And Daniel became great in the sight of the people from that day, and thenceforward.
Dan.14.2	Now the Babylonians had an idol called Bel: and there was spent upon him every day twelve great measures of fine flour, and forty sheep, and six vessels of wine.	Now the Babylonians had an idol called Bel: and there were spent upon him every day twelve great measures of fine flour, and forty sheep, and sixty vessels of wine.
Dan.14.26	Then Daniel took pitch, and fat, and hair, and boiled them together: and he made lumps, and put them into the dragon's mouth, and the dragon burst asunder. And he said: Behold him whom you worship.	Then Daniel took pitch, and fat, and hair, and boiled them together: and he made lumps, and put them into the dragon's mouth, and the dragon burst asunder. And he said: Behold him whom you worshipped.
Os.2.24	And I will say to that which is not my people: Thou art my people: and they shall say: Thou art my God.	And I will say to that which was not my people: Thou art my people: and they shall say: Thou art my God.
Os.4.10	And they shall eat and shall not be filled: they have committed fornication, and have not ceased: because they have forsaken the Lord in not observing the law.	And they shall eat and shall not be filled: they have committed fornication, and have not ceased: because they have forsaken the Lord in not observing his law.
Os.12.5	Even the Lord God of hosts, the Lord is his memorial.	Even the Lord the God of hosts, the Lord is his memorial.
Joel.1.18	Why did the beasts groan, why did the herds of cattle low? because there is no pasture for them: yea, and the flocks of sheep are perished.	Why did the beast groan, why did the herds of cattle low? because there is no pasture for them: yea, and the flocks of sheep are perished.
Joel.2.11	And the Lord hath uttered his voice before the face of his army: for his armies are exceedingly great, for they are strong, and execute his word: for the day of the Lord is great and very terrible: and who can stand it?	And the Lord hath uttered his voice before the face of his army: for his armies are exceeding great, for they are strong and execute his word: for the day of the Lord is great and very terrible: and who can stand it?
Joel.2.16	Gather together the people, sanctify the church, assemble the ancients, gather together the little ones, and them that suck at the breasts: let the bridegroom go forth from his bed, and the bride out of her bridal chamber.	Gather together the people, sanctify the church, assemble the ancients, gather together the little ones, and them that suck at the breasts: let the bridegroom go forth from his bed, and the bride out of her bride chamber.
Joel.2.17	Between the porch and the altar the priests, the Lord's ministers, shall weep, and shall say: Spare, O Lord, spare thy people: and give not thy inheritance to reproach, that the heathens should rule over them. Why should they say among the nations: Where is their God?	Between the porch and the altar the priests the Lord's ministers shall weep, and shall say: Spare, O Lord, spare thy people: and give not thy inheritance to reproach, that the heathen should rule over them. Why should they say among the nations: Where is their God?
Joel.2.25	And I will restore to you the years which the locust, and the bruchus, and the mildew, and the palmerworm hath eaten; my great host which I sent upon you.	And I will restore to you the ears which the locust, and the bruchus, and the mildew, and the palmerworm have eaten; my great host which I sent upon you.
Joel.2.27	And you shall know that I am in the midst of Israel: and I am the Lord your God, and there is none besides: and my people shall not be confounded forever.	And you shall know that I am in the midst of Israel: and I am the Lord your God, and there is none besides: and my people shall not be confounded for ever.
Amos.1.1	The words of Amos, who was among the herdsmen of Thecua: which he saw concerning Israel in the days of Ozias king of Juda, and in the days of Jeroboam the son of Joas king of Israel two years before the earthquake.	The words of Amos, who was among herdsmen of Thecua: which he saw concerning Israel in the days of Ozias king of Juda, and in the days of Jeroboam the son of Joas king of Israel two years before the earthquake.
Amos.3.12	Thus saith the Lord: As if a shepherd should get out of the lion's mouth two legs, or the tip of the ear: so shall the children of Israel be taken out that dwell in Samaria, in a place of a bed, and in the couch of Damascus.	Thus saith the Lord: As if a shepherd should get out of the lion's mouth two legs, or the tip of the ear: so shall the children of Israel be taken out that dwell in Samaria, in a piece of a bed, and in the couch of Damascus.
Amos.5.16	Therefore thus saith the Lord the God of hosts the sovereign Lord: In every street there shall be wailing: and in all places that are without, they shall say: Alas, alas! and they shall call the husbandman to mourning, and such as are skilful in lamentation to lament.	Therefore thus saith the Lord the God of hosts the sovereign Lord: In every street there shall be wailing: and in all places that are without, they shall say: Alas, alas! and they shall call the husbandman to mourning, and such as are skillful in lamentation to lament.
Jon.1.6	And the ship master came to him and said to him: Why art thou fast asleep? rise up call upon thy God, if so be that God will think of us that we may not perish.	And the shipmaster came to him, and said to him: Why art thou fast asleep? rise up, call upon thy God, if so be that God will think of us, that we may not perish.
Jon.1.11	And they said to him: What shall we do with thee, that the sea may be calm to us? for the sea flowed and swelled.	And they said to him: What shall we do to thee, that the sea may be calm to us? for the sea flowed and swelled.
Jon.2.1	Now the Lord prepared a great fish to swallow up Jonas: and Jonas was in the belly of the fish for three days and three nights.	Now the Lord prepared a great fish to swallow up Jonas: and Jonas was in the belly of the fish three days and three nights.
Jon.2.9	They that in vain observe vanities, forsake their own mercy.	They that are vain observe vanities, forsake their own mercy.
Jon.3.6	And the word came to the king of Ninive: and he rose up out of his throne, and cast away his robe from him, and was clothed in sackcloth, and sat in ashes.	And the word came to the king of Ninive; and he rose up out of his throne, and cast away his robe from him, and was clothed with sackcloth, and sat in ashes.
Jon.3.7	And he caused it to be proclaimed and published in Ninive, from the mouth of the king and of his princes, saying: Let neither men nor beasts, oxen, nor sheep taste anything: let them not feed, nor drink water.	And he caused it to be proclaimed and published in Ninive from the mouth of the king and of his princes, saying: Let neither men nor beasts, oxen nor sheep, taste any thing: let them not feed, nor drink water.
Jon.4.11	And shall I not spare Ninive, that great city, in which there are more than a hundred and twenty thousand persons, that know not how to distinguish between their right hand and their left, and many beasts?	And shall not I spare Ninive, that great city, in which there are more than a hundred and twenty thousand persons that know not how to distinguish between their right hand and their left, and many beasts?
Mich.1.8	Therefore will I lament, and howl: I will go stript and naked: I will make a wailing like the dragons, and a mourning like the ostriches.	Therefore will I lament and howl: I will go stripped and naked: I will make a wailing like the dragons, and a mourning like the ostriches.
Mich.2.9	You have cast out the women of my people from their houses, in which they took delight: you have taken my praise forever from their children.	You have cast out the women of my people from their houses, in which they took delight: you have taken my praise for ever from their children.
Mich.2.12	I will assemble and gather together all of thee, O Jacob: I will bring together the remnant of Israel, I will put them together as a flock in the fold, as sheep in the midst of the sheepcotes, they shall make a tumult by reason of the multitude of men.	I will assemble and gather together all of thee, O Jacob: I will bring together the remnant of Israel, I will put them together as a flock in the fold, as the sheep in the midst of the sheepcotes, they shall make a tumult by reason of the multitude of men.
Mich.3.3	Who have eaten the flesh of my people, and have flayed their skin off them: and have broken, and chopped their bones as for the kettle, and as flesh in the midst of the pot.	Who have eaten the flesh of my people, and have flayed their skin from off them: and have broken, and chopped their bones as for the kettle, and as flesh in the midst of the pot.
Mich.4.1	And it shall come to pass in the last days, that the mountain of the house of the Lord shall be prepared in the top of the mountains, and high above the hills: and people shall flow to it.	And it shall come to pass in the last days, that the mountain of the house of the Lord shall be prepared in the top of mountains, and high above the hills: and people shall flow to it.
Mich.4.3	And he shall judge among many people, and rebuke strong nations afar off: and they shall beat their swords into ploughshares, and their spears into spades: nation shall not take sword against nation: neither shall they learn war anymore.	And he shall judge among many people, and rebuke strong nations afar off: and they shall beat their swords into ploughshares, and their spears into spades: nation shall not take sword against nation: neither shall they learn war any more.
Mich.4.7	And I will make her that halted, a remnant: and her that had been afflicted, a mighty nation: and the Lord will reign over them in Mount Sion, from this time now and forever.	And I will make her that halted, a remnant: and her that hath been afflicted, a mighty nation: and the Lord will reign over them in mount Sion, from this time now and for ever.
Mich.4.9	Now, why art thou drawn together with grief? Hast thou no king in thee, or is thy counselor perished, because sorrow hath taken thee as a woman in labour.	Now, why art thou drawn together with grief? Hast thou no king in thee, or is thy counsellor perished, because sorrow hath taken thee as a woman in labour?
Mich.6.5	O my people, remember, I pray thee, what Balach, the king of Moab, purposed: and what Balaam, the son of Beor, answered him, from Setim to Galgal, that thou mightest know the justice of the Lord.	O my people, remember, I pray thee, what Balach the king of Moab purposed: and what Balaam the son of Beor answered him, from Setim to Galgal, that thou mightest know the justices of the Lord.
Mich.7.1	Woe is me, for I am become as one that gleaneth in autumn the grapes of the vintage: there is no cluster to eat, my soul desired the first ripe figs.	Woe is me, for I am become as one that gleaneth in autumn the grapes of the vintage: there is no cluster to eat, my soul desired the firstripe figs.
Mich.7.20	Thou wilt perform the truth to Jacob, the mercy to Abraham: which thou hast sworn to our fathers from the days of old.	Thou wilt perform the truth of Jacob, the mercy to Abraham: which thou hast sworn to our fathers from the days of old.
Nah.3.11	Therefore thou also shalt be made drunk, and shalt be despised: and thou shalt seek help from the enemies.	Therefore thou also shalt be made drunk, and shalt be despised: and thou shalt seek help from the enemy.
Nah.3.18	Thy shepherds have slumbered, O king of Assyria, thy princes shall be buried: thy people are hid in the mountains, and there is none to gather them.	Thy shepherds have slumbered, O king of Assyria, thy princes shall be buried: thy people are hid in the mountains, and there is none to gather them together.
Agg.2.5	Yet now take courage, O Zorobabel, saith the Lord, and take courage, Jesus the son of Josedec the high priest, and take courage, all ye people of the land, saith the Lord of hosts: and perform (for I am with you, saith the Lord of hosts)	Yet now take courage, O Zorobabel, saith the Lord, and take courage, O Jesus the son of Josedec the high priest, and take courage, all ye people of the land, saith the Lord of hosts: and perform (for I am with you, saith the Lord of hosts)
Zach.8.23	Thus saith the Lord of hosts: In those days, wherein ten men of all languages of the Gentiles shall take hold, and shall hold fast the skirt of one that is a Jew, saying: We will go with you: for we have heard that God is with you.	Thus saith the Lord of hosts: In those days, wherein ten men of all languages of the Gentiles shall take hold, and shall hold fast the shirt of one that is a Jew, saying: We will go with you: for we have heard that God is with you.
Zach.10.4	Out of him shall come forth the corner, out of him the pin, out of him the bow of battle, out of him ever exacter together.	Out of him shall come forth the corner, out of him the pin, out of him the bow of battle, out of him every exacter together.
Zach.10.6	And I will strengthen the house of Juda, and save the house of Joseph: and I will bring them back again, because I will have mercy on them: and they shall be as they were when I had not cast them off, for I am the Lord their God, and will hear them.	And I will strengthen the house of Juda, and save the house of Joseph: and I will bring them back again, because I will have mercy on them: and they shall be as they were when I had cast them off, for I am the Lord their God, and will hear them.
Zach.10.10	And I will bring them back out of the land of Egypt, and I will gather them from among the Assyrians: and will bring them to the land of Galaad, and Libanus, and place shall not be found for them.	And I will bring them back out of the land of Egypt, and will gather them from among the Assyrians: and will bring them to the land of Galaad, and Libanus, and place shall not be found for them.
Zach.14.4	And his feet shall stand in that day upon the mount of Olives, which is over against Jerusalem towards the east: and the mount of Olives shall be divided in the midst thereof to the east, and to the west with a very great opening, and half of the mountain shall be separated to the north, and half thereof to the south.	And his feet shall stand in that day upon the mount of Olives, which is over against Jerusalem toward the east: and the mount of Olives shall be divided in the midst thereof to the east, and to the west with a very great opening, and half of the mountain shall be separated to the north, and half thereof to the south.
Mal.2.3	Behold, I will cast the shoulder to you, and will scatter upon your face the dung of your solemnities, and it shall take you away with it.	Behold, I will cast the shoulder to you, and I will scatter upon your face the dung of your solemnities, and it shall take you away with it.
1Mach.2.58	Elias, while he is full of zeal for the law, was taken up into heaven.	Elias, while he was full of zeal for the law, was taken up into heaven.
1Mach.3.11	And Judas understood it, and went forth to meet him: and he overthrew him, and killed him: and many fell down slain, and the rest fled away.	And Judas understood it, and went forth to meet him: and he overthrew him, and killed him: and many fell down slain, the rest fled away.
1Mach.3.49	And they brought the priestly ornaments, and the first fruits and tithes, and stirred up the Nazarites that had fulfilled their days:	And they brought the priestly ornaments, and the firstfruits and tithes, and stirred up the Nazarites that had fulfilled their days:
1Mach.4.9	Remember in what manner our fathers were saved in the Red Sea, when Pharaoh pursued them with a great army.	Remember in what manner our fathers were saved in the Red Sea, when Pharao pursued them with a great army.
1Mach.4.30	And they saw that the army was strong, and he prayed and said: Blessed art thou, O Saviour of Israel, who didst break the violence of the mighty by the hand of thy servant David, and didst deliver up the camp of the strangers into the hands of Jonathan the son of Saul, and of his armour bearer.	And they saw that the army was strong, and he prayed, and said: Blessed art thou, O Saviour of Israel, who didst break the violence of the mighty by the hand of thy servant David, and didst deliver up the camp of the strangers into the hands of Jonathan the son of Saul and of his armourbearer.
1Mach.4.40	And they fell down to the ground on their faces, and they sounded with the trumpets of alarm, and they cried towards heaven.	And they fell face down to the ground on their faces, and they sounded with the trumpets of alarm, and they cried towards heaven.
1Mach.5.3	Then Judas fought against the children of Esau in Idumea, and them that were in Acrabathane: because they beset the Israelites round about, and he made a great slaughter of them.	Then Judas fought against the children of Esau in Idumea, and them that were in Acrabathane: because they beset the Israelites around about, and he made a great slaughter of them.
1Mach.5.16	Now when Judas and the people heard these words, a great assembly met together to consider what they should do for their brethren that were in trouble, and were assaulted by them.	Now when Judas and all the people heard these words, a great assembly met together to consider what they should do for their brethren that were in trouble, and were assaulted by them.
1Mach.5.48	Saying: Let us pass through your land, to go into our own country, and no man shall hurt you; we will only pass through on foot. But they would not open to them.	Saying: Let us pass through your land, to go into our country: and no man shall hurt you: we will only pass through on foot. But they would not open to them.
1Mach.5.64	And the people assembled to them with joyful acclamations.	And people assembled to them with joyful acclamations.
1Mach.5.65	Then Judas and his brethren went forth and attacked the children of Esau, in the land towards the south, and he took Chebron and her towns: and he burnt the walls thereof, and the towers all round it.	Then Judas and his brethren went forth and attacked the children of Esau, in the land toward the south, and he took Chebron, and her towns: and he burnt the walls thereof and the towers all round it.
1Mach.6.3	So he came, and sought to take the city and to pillage it; but he was not able, because the design was known to them that were in the city.	Lo, he came, and sought to take the city and to pillage it: But he was not able, because the design was known to them that were in the city.
1Mach.6.9	And he remained there many days: for great grief came more and more upon him, and he made account that he should die.	And he remained there many days: for great grief came more and more and more upon him, and he made account that he should die.
1Mach.6.17	And Lysias understood that the king was dead, and he set up Antiochus, his son, to reign, whom he had brought up young: and he called his name Eupator.	And Lysias understood that the king was dead, and he set up Antiochus his son to reign, whom he brought up young: and he called his name Eupator.
1Mach.6.22	And they went to the king, and said: How long dost thou delay to execute judgment, and to revenge our brethren?	And they went to the king, and said: How long dost thou delay to execute the judgment, and to revenge our brethren?
1Mach.6.26	And behold they have approached this day to the castle of Jerusalem to take it, and they have fortified the strong hold of Bethsura:	And behold they have approached this day to the castle of Jerusalem to take it, and they have fortified the stronghold of Bethsura:
1Mach.6.55	Now Lysias heard that Philip; whom king Antiochus while he lived had appointed to bring up his son, Antiochus, and to reign,	Now Lysias heard that Philip, whom king Antiochus while he lived had appointed to bring up his son Antiochus, and to reign, to be king,
1Mach.6.61	And the king and the princes swore to them: and they came out of the strong hold.	And the king and the princes swore to them: and they came out of the stronghold.
1Mach.7.1	In the hundred and fifty-first year, Demetrius, the son of Seleucus, departed from the city of Rome, and came up with few men into a city of the sea coast, and reigned there.	In the hundred and fifty-first year Demetrius the son of Seleucus departed from the city of Rome, and came up with a few men into a city of the sea coast, and reigned there.
1Mach.7.7	Now, therefore, send some men whom thou trustest, and let him go, and see all the havoc he hath made amongst us, and in the king's lands: and let him punish all his friends and their helpers.	Now therefore send some man whom thou trustest, and let him go, and see all the havock he hath made amongst us, and in the king's lands: and let him punish all his friends and their helpers.
1Mach.7.9	To see the havoc that Judas had made: and the wicked Alcimus he made high priest, and commanded him to take revenge upon the children of Israel.	To see the havock that Judas had made: and the wicked Alcimus he made high priest, and commanded him to take revenge upon the children of Israel.
1Mach.7.24	And he went out into all the coasts of Judea round about, and took vengeance upon the men that had revolted, and they ceased to go forth any more into the country.	And he went out into all the coasts of Juda round about, and took vengeance upon the men that had revolted, and they ceased to go forth any more into the country.
1Mach.7.34	But he mocked and despised them, and abused them: and he spoke proudly,	But he mocked them and despised them, and abused them: and he spoke proudly,
1Mach.8.2	And they heard of their battles, and their noble acts which they had done in Galatia, how they had conquered them, and brought them under tribute:	And they heard of their battles, and their noble acts, which they had done in Galatia, how they conquered them, and brought them under tribute:
1Mach.8.13	That whom they had a mind to help to a kingdom, those reigned: and whom they would, they deposed from the kingdom: and they were greatly exalted.	That whom they had a mind to help to a kingdom, those reigned: and whom they would, they deposed from a kingdom: and they were greatly exalted.
1Mach.8.15	And that they had made themselves a senate house, and consulted daily three hundred and twenty men, that sat in council always for the people, that they might do the things that were right:	And that they made themselves a senate house, and consulted daily three hundred and twenty men, that sat in council always for the people, that they might do the things that were right.
1Mach.8.30	And, if after this, one party or the other shall have a mind to add to these articles, or take away any thing, they may do it at their pleasure: and whatsoever they shall add, or take away, shall be ratified.	And if after this one party or the other shall have a mind to add to these articles, or take away anything, they may do it at their pleasure: and whatsoever they shall add, or take away, shall be ratified.
1Mach.9.13	And they also that were on Judas's side, even they also cried out, and the earth shook at the noise of the armies: and the battle was fought from morning even unto the evening.	And they also were on Judas' side, even they also cried out, and the earth shook at the noise of the armies: and the battle was fought from morning even unto the evening.
1Mach.9.33	And Jonathan, and Simon, his brother, knew it, and all that were with them: and they fled into the desert of Thecua, and they pitched by the water of the lake Asphar,	And Jonathan and Simon his brother, knew it, and all that were with them: and they fled into the desert of Thecua, and they pitched by the water of the lake of Asphar,
1Mach.9.38	And they remembered the blood of John, their brother: and they went up, and hid themselves under the covert of the mountain.	And the remembered the blood of John their brother: and they went up, and hid themselves under the covert of the mountain.
1Mach.9.45	For behold the battle is before us, and the water of the Jordan on this side and on that side, and banks, and marshes, and woods: and there is no place for us to turn aside.	And behold the battle is before us, and the water of the Jordan on this side and on that side, and banks, and marshes, and woods: and there is no place for us to turn aside.
1Mach.9.48	And Jonathan, and they that were with him, leapt into the Jordan, and swam over the Jordan to them.	And Jonathan, and they that were with him leaped into the Jordan, and swam over the Jordan to them:
1Mach.9.54	Now in the year one hundred and fifty-three, the second month, Alcimus commanded the walls of the inner court of the sanctuary to be thrown down, and the works of the prophets to be destroyed: and he began to destroy.	Now in the year one hundred and fifty-three, the second month, Alcimus commanded the walls of the inner court of the sanctuary to be thrown down, and the works of the prophets to be destroyed: and he began to be destroyed: and he began to destroy.
1Mach.9.61	And he apprehended of the men of the country, that were the principal authors of the mischief, fifty men, and he slew them.	And he apprehended of the men of the country, that were the principal authors of the mischief, fifty men, and slew them.
1Mach.10.18	King Alexander to his brother, Jonathan, greetings.	King Alexander to his brother Jonathan, greeting.
1Mach.10.40	And I give every year fifteen thousand sickles of silver out of the king's accounts, of what belongs to me:	And I give every year fifteen thousand sicles of silver out of the king's accounts, of what belongs to me:
1Mach.10.42	Moreover, the five thousand sickles of silver, which they received from the account of the holy places, every year, shall also belong to the priests that execute the ministry.	Moreover the five thousand sicles of silver which they received from the account of the holy places, every year, shall also belong to the priests that execute the ministry.
1Mach.10.84	But Jonathan set fire to Azotus, and the cities that were round about it, and took the spoils of them and the temple of Dagon: and all them that were fled into it, he burnt with fire.	But Jonathan set fire to Azotus, and the cities that were around it, and took the spoils of them, and the temple of Dagon: and all them that were fled into it, he burnt with fire.
1Mach.11.26	And the king treated him as his predecessors had done before: and he exalted him in the sight of all his friends.	And the king treated him as his predecessor had done before: and he exalted him in the sight of all his friends.
1Mach.11.32	King Demetrius to Lasthenes, his parent, greetings.	King Demetrius to Lasthenes his parent, greeting.
1Mach.11.49	And they that were of the city saw that the Jews had got the city as they would: and they were discouraged in their mind, and cried to the king, making supplication, and saying:	And they that were of the city saw that the Jews had got the city as they would: and they were discouraged in their minds, and cried to the king, making supplication, and saying:
1Mach.11.69	And they that lay in ambush rose out of their places, and joined battle.	And they that lay in ambush arose out of their places, and joined battle.
1Mach.12.14	But we would not be troublesome to you, nor to the rest of our allies and friends, in these wars.	But we would not be troublesome to you, nor the rest of our allies and friends in these wars.
1Mach.12.17	And we have commanded them to go also to you, and salute you, and to deliver you our letters, concerning the renewing of our brotherhood.	And we have commanded them to go also to you, and to salute you, and to deliver you our letters, concerning the renewing of our brotherhood.
1Mach.13.25	And Simon sent, and took the bones of Jonathan, his brother, and buried them in Modin, the city of his fathers.	And Simon sent, and took the bones of Jonathan his brother, and buried them in Modin, in the city of his fathers.
1Mach.13.44	And they that were within the engine leapt into the city: and there was a great uproar in the city.	And they that were within the engine leaped into the city: and there was a great uproar in the city.
1Mach.14.21	The ambassadors that were sent to our people, have told us of your glory, and honour, and joy: and we rejoiced at their coming.	The ambassadors that were sent to our people, have told us of your glory, and honour, and joy: and we rejoice at their coming.
1Mach.14.24	And after this Simon sent Numenius to Rome, with a great shield of gold, of the weight of a thousand pounds, to confirm the league with them. And when the people of Rome had heard	And after this Simon sent Numenius to Rome, with a great shield of gold the weight of a thousand pounds, to confirm the league with them. And when the people of Rome had heard
1Mach.14.29	And Simon, the son of Mathathias, of the children of Jarib, and his brethren, have put themselves in danger, and resisted the enemies of their nation, for the maintenance of their holy places, and the law: and have raised their nation to great glory.	And Simon the son of Mathathias of the children of Jarib, and his brethren have put themselves in danger, and have resisted the enemies of their nation, for the maintenance of their holy places, and the law: and have raised their nation to great glory.
1Mach.14.36	And in his days things prospered in his hands, so that the heathens were taken away out of their country, and they also that were in the city of David, in Jerusalem, in the castle, out of which they issued forth, and profaned all places round about the sanctuary, and did much evil to purity.	And in his days things prospered in his hands, so that the heathens were taken away out of their country, and they also that were in the city of David in Jerusalem in the castle, out of which they issued forth, and profaned all places round about the sanctuary, and did much evil to its purity.
1Mach.15.25	But king Antiochus moved his camp to Dora the second time, assaulting it continually, and making engines: and he shut up Tryphon, that he could not go out.	But king Antiochus moved his camp to Dora the second time, assaulting it continually, and making engines: and shut up Tryphon, that he could not go out.
1Mach.15.29	Their borders you have wasted, and you have made great havoc in the land, and have got the dominion of many places in my kingdom.	Their borders you have wasted, and you have made great havock in the land, and have got the dominion of many places in my kingdom.
1Mach.15.31	But if not, give me for them five hundred talents of silver, and for the havoc that you have made, and the tributes of the cities, other five hundred talents: or else we will come and fight against you.	But if not, give me for them five hundred talents of silver, and for the havock that you have made, and the tributes of the cities other five hundred talents: or else we will come and fight against you.
1Mach.16.24	Behold, these are written in the book of the days of his priesthood, from the time that he was made high priest after his father.	Behold these are written in the book of the days of his priesthood, from the time he was made high priest after his father.
2Mach.2.30	For as the master builder of a new house must have care of the whole building: but he that taketh care to paint it, must seek out fit things for the adorning of it: so must it be judged of us.	For as the master builder of a new house must have care of the whole building: but he that taketh care to paint it, must seek out fit things for the adorning of it: so must it be judged for us.
2Mach.3.8	So Heliodorus forthwith began his journey, under a colour of visiting the cities of Celesyria and Phenicia, but indeed to fulfil the king's purpose.	So Heliodorus forthwith began his journey, under a colour of visiting the cities of Celesyria and Phenicia, but indeed to fulfill the king's purpose.
2Mach.4.1	But Simon, of whom we spoke before, who was the betrayer of the money, and of his country, spoke ill of Onias, as though he had incited Heliodorus to do these things, and had been the promoter of evils:	But Simon, of whom we spoke before, and of his country, spoke ill of Onias, as though he had incited Heliodorus to do these things, and had been the promoter of evils:
2Mach.4.30	When these things were in doing, it fell out that they of Tharsus, and Mallos, raised a sedition, because they were given for a gift to Antiochus, the king's concubine.	When these things were in doing, it fell out that they of Tharsus and Mallos raised a sedition, because they were given for a gift to Antiochis, the king's concubine.
2Mach.4.49	Wherefore even the Tyrians, being moved with indignation, were very liberal towards their burial.	Wherefore even the Tyrians being moved with indignation, were liberal towards their burial.
2Mach.5.20	And, therefore, the place also itself was made partaker of the evils of the people: but afterwards shall communicate in the good things thereof, and as it was forsaken in the wrath of Almighty God, shall be exalted again with great glory, when the great Lord shall be reconciled.	And therefore the place also itself was made partaker of the evils of the people: but afterward shall communicate in the good things thereof, and as it was forsaken in the wrath of almighty God, shall be exalted again with great glory, when the great Lord shall be reconciled.
2Mach.6.2	And to defile the temple that was in Jerusalem, and to call it the temple of Jupiter Olympius: and that in Garazim of Jupiter Hospitalis, according as they were that inhabited the place.	And to defile the temple that was in Jerusalem, and to call it the temple of Jupiter Olympius: and that in Gazarim of Jupiter Hospitalis, according as they were that inhabited the place.
2Mach.6.20	And considering in what manner he was to come to it, patiently bearing, he determined not to do any unlawful things for the love of life.	And considering in what manner he was come to it, patiently bearing, he determined not to do any unlawful things for the love of life.
2Mach.6.30	But when he was now ready to die with the stripes, he groaned: and said: O Lord, who hast the holy knowledge, thou knowest manifestly that whereas I might be delivered from death, I suffer grievous pains in body: but in soul am well content to suffer these things, because I fear thee.	But when he was now ready to die with the stripes, he groaned, and said: O Lord, who hast the holy knowledge, thou knowest manifestly that whereas I might be delivered from death, I suffer grevious pains in body: but in soul am well content to suffer these things because I fear thee.
2Mach.7.10	After him the third was made a mocking-stock, and when he was required, he quickly put forth his tongue, and courageously stretched out his hands:	After him the third was made a mocking stock, and when he was required, he quickly put forth his tongue, and courageously stretched out his hands:
2Mach.7.19	But do not think that thou shalt escape unpunished, for that thou hast attempted to fight against God.	But do not think that thou shalt escape unpunished, for that thou attempted to fight against God.
2Mach.7.20	Now the mother was to be admired above measure, and worthy to be remembered by good men, who beheld her seven sons slain in the space of one day, and bore it with a good courage, for the hope that she had in God:	Now the mother was to be admired above measure, and worthy to be remembered by good men, who beheld seven sons slain in the space of one day, and bore it with a good courage, for the hope that she had in God:
2Mach.8.30	Moreover, they slew above twenty thousand of them that were with Timotheus and Bacchides, who fought against them, and they made themselves masters of the high strong holds: and they divided amongst them many spoils, giving equal portions to the feeble, the fatherless, and the widows; yea, and the aged also.	Moreover they slew above twenty thousand of them that were with Timotheus and Bacchides who fought them, and they made themselves masters of the high strong holds: and they divided amongst them many spoils, giving equal portions to the feeble, the fatherless and the widows, yea and the aged also.
2Mach.9.14	And the city, to which he was going in haste to lay it even with the ground, and to make it a common burying place, he now desireth to make free:	And the city to which he was going in haste to lay it even with the ground, and to make it a, common buryingplace, he now desireth to make free.
2Mach.9.16	The holy temple also, which before he had spoiled, he promised to adorn with goodly gifts, and to multiply the holy vessels, and to allow out of his revenues the charges pertaining to the sacrifices.	The holy temple also which before he had spoiled, he promiseth to adorn with goodly gifts, and to multiply the holy vessels, and to allow out of his revenues the charges pertaining to the sacrifices.
2Mach.10.10	But now we will repeat the acts of Eupator, the son of that wicked Antiochus, abridging the account of the evils that happened in the wars.	But now we will relate the acts of Eupator the son of that wicked Antiochus, abridging the account of the evils that happened in the wars.
2Mach.10.15	And the Jews that occupied the most commodious holds, received those that were driven out of Jerusalem, and attempted to make war.	And the Jews that occupied the most commodious hold, received those that were driven out of Jerusalem, and attempted to make war.
2Mach.10.23	And having good success in arms, and all things he took in hand, he slew more than twenty thousand in the two holds.	And having good success in arms and in all things he took in hand, he slew more than twenty thousand in the two holds.
